"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2019","Total","Both Sexes","72","Data tabulated by year of occurrence","Final figure, complete","2021","67130",""
"United States of America","2019","Total","Both Sexes","73","Data tabulated by year of occurrence","Final figure, complete","2021","56853",""
"United States of America","2019","Total","Both Sexes","74","Data tabulated by year of occurrence","Final figure, complete","2021","58425",""
"United States of America","2019","Total","Both Sexes","75","Data tabulated by year of occurrence","Final figure, complete","2021","63147",""
"United States of America","2019","Total","Both Sexes","75 - 79","Data tabulated by year of occurrence","Final figure, complete","2021","329493",""
"United States of America","2019","Total","Both Sexes","76","Data tabulated by year of occurrence","Final figure, complete","2021","69019",""
"United States of America","2019","Total","Both Sexes","77","Data tabulated by year of occurrence","Final figure, complete","2021","65894",""
"United States of America","2019","Total","Both Sexes","78","Data tabulated by year of occurrence","Final figure, complete","2021","65124",""
"United States of America","2019","Total","Both Sexes","79","Data tabulated by year of occurrence","Final figure, complete","2021","66309",""
"United States of America","2019","Total","Both Sexes","80","Data tabulated by year of occurrence","Final figure, complete","2021","68349",""
"United States of America","2019","Total","Both Sexes","80 - 84","Data tabulated by year of occurrence","Final figure, complete","2021","358534",""
"United States of America","2019","Total","Both Sexes","81","Data tabulated by year of occurrence","Final figure, complete","2021","70621",""
"United States of America","2019","Total","Both Sexes","82","Data tabulated by year of occurrence","Final figure, complete","2021","71124",""
"United States of America","2019","Total","Both Sexes","83","Data tabulated by year of occurrence","Final figure, complete","2021","73524",""
"United States of America","2019","Total","Both Sexes","84","Data tabulated by year of occurrence","Final figure, complete","2021","74916",""
"United States of America","2019","Total","Both Sexes","85","Data tabulated by year of occurrence","Final figure, complete","2021","73207",""
"United States of America","2019","Total","Both Sexes","85 - 89","Data tabulated by year of occurrence","Final figure, complete","2021","378916",""
"United States of America","2019","Total","Both Sexes","86","Data tabulated by year of occurrence","Final figure, complete","2021","75293",""
"United States of America","2019","Total","Both Sexes","87","Data tabulated by year of occurrence","Final figure, complete","2021","76921",""
"United States of America","2019","Total","Both Sexes","88","Data tabulated by year of occurrence","Final figure, complete","2021","76891",""
"United States of America","2019","Total","Both Sexes","89","Data tabulated by year of occurrence","Final figure, complete","2021","76604",""
"United States of America","2019","Total","Both Sexes","90","Data tabulated by year of occurrence","Final figure, complete","2021","72782",""
"United States of America","2019","Total","Both Sexes","90 - 94","Data tabulated by year of occurrence","Final figure, complete","2021","317483",""
"United States of America","2019","Total","Both Sexes","91","Data tabulated by year of occurrence","Final figure, complete","2021","69883",""
"United States of America","2019","Total","Both Sexes","92","Data tabulated by year of occurrence","Final figure, complete","2021","64861",""
"United States of America","2019","Total","Both Sexes","93","Data tabulated by year of occurrence","Final figure, complete","2021","58116",""
"United States of America","2019","Total","Both Sexes","94","Data tabulated by year of occurrence","Final figure, complete","2021","51841",""
"United States of America","2019","Total","Both Sexes","95","Data tabulated by year of occurrence","Final figure, complete","2021","43876",""
"United States of America","2019","Total","Both Sexes","95 - 99","Data tabulated by year of occurrence","Final figure, complete","2021","146616",""
"United States of America","2019","Total","Both Sexes","96","Data tabulated by year of occurrence","Final figure, complete","2021","36034",""
"United States of America","2019","Total","Both Sexes","97","Data tabulated by year of occurrence","Final figure, complete","2021","28978",""
"United States of America","2019","Total","Both Sexes","98","Data tabulated by year of occurrence","Final figure, complete","2021","22195",""
"United States of America","2019","Total","Both Sexes","99","Data tabulated by year of occurrence","Final figure, complete","2021","15533",""
"United States of America","2019","Total","Both Sexes","100 +","Data tabulated by year of occurrence","Final figure, complete","2021","30731",""
"United States of America","2019","Total","Both Sexes","Unknown","Data tabulated by year of occurrence","Final figure, complete","2021","147",""
"United States of America","2019","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2021","1473823",""
"United States of America","2019","Total","Male","0","Data tabulated by year of occurrence","Final figure, complete","2021","11674",""
"United States of America","2019","Total","Male","1","Data tabulated by year of occurrence","Final figure, complete","2021","825",""
"United States of America","2019","Total","Male","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","2041",""
"United States of America","2019","Total","Male","2","Data tabulated by year of occurrence","Final figure, complete","2021","515",""
"United States of America","2019","Total","Male","3","Data tabulated by year of occurrence","Final figure, complete","2021","390",""
"United States of America","2019","Total","Male","4","Data tabulated by year of occurrence","Final figure, complete","2021","311",""
"United States of America","2019","Total","Male","5","Data tabulated by year of occurrence","Final figure, complete","2021","291",""
"United States of America","2019","Total","Male","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","1290",""
"United States of America","2019","Total","Male","6","Data tabulated by year of occurrence","Final figure, complete","2021","266",""
"United States of America","2019","Total","Male","7","Data tabulated by year of occurrence","Final figure, complete","2021","243",""
"United States of America","2019","Total","Male","8","Data tabulated by year of occurrence","Final figure, complete","2021","251",""
"United States of America","2019","Total","Male","9","Data tabulated by year of occurrence","Final figure, complete","2021","239",""
"United States of America","2019","Total","Male","10","Data tabulated by year of occurrence","Final figure, complete","2021","291",""
"United States of America","2019","Total","Male","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","1896",""
"United States of America","2019","Total","Male","11","Data tabulated by year of occurrence","Final figure, complete","2021","324",""
"United States of America","2019","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2021","351",""
"United States of America","2019","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2021","394",""
"United States of America","2019","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2021","536",""
"United States of America","2019","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2021","754",""
"United States of America","2019","Total","Male","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","7361",""
"United States of America","2019","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2021","1040",""
"United States of America","2019","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2021","1353",""
"United States of America","2019","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2021","1972",""
"United States of America","2019","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2021","2242",""
"United States of America","2019","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2021","2452",""
"United States of America","2019","Total","Male","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","14387",""
"United States of America","2019","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2021","2871",""
"United States of America","2019","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2021","2909",""
"United States of America","2019","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2021","2979",""
"United States of America","2019","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2021","3176",""
"United States of America","2019","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2021","3481",""
"United States of America","2019","Total","Male","25 - 29","Data tabulated by year of occurrence","Final figure, complete","2021","19442",""
"United States of America","2019","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2021","3696",""
"United States of America","2019","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2021","3864",""
"United States of America","2019","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2021","4129",""
"United States of America","2019","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2021","4272",""
"United States of America","2019","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2021","4301",""
"United States of America","2019","Total","Male","30 - 34","Data tabulated by year of occurrence","Final figure, complete","2021","21909",""
"United States of America","2019","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2021","4282",""
"United States of America","2019","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2021","4269",""
"United States of America","2019","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2021","4410",""
"United States of America","2019","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2021","4647",""
"United States of America","2019","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2021","4671",""
"United States of America","2019","Total","Male","35 - 39","Data tabulated by year of occurrence","Final figure, complete","2021","25241",""
"United States of America","2019","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2021","4854",""
"United States of America","2019","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2021","5066",""
"United States of America","2019","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2021","5281",""
"United States of America","2019","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2021","5369",""
"United States of America","2019","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2021","5628",""
"United States of America","2019","Total","Male","40 - 44","Data tabulated by year of occurrence","Final figure, complete","2021","28195",""
"United States of America","2019","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2021","5385",""
"United States of America","2019","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2021","5655",""
"United States of America","2019","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2021","5558",""
"United States of America","2019","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2021","5969",""
"United States of America","2019","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2021","6309",""
"United States of America","2019","Total","Male","45 - 49","Data tabulated by year of occurrence","Final figure, complete","2021","39358",""
"United States of America","2019","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2021","6937",""
"United States of America","2019","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2021","7793",""
"United States of America","2019","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2021","8843",""
"United States of America","2019","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2021","9476",""
"United States of America","2019","Total","Male","50","Data tabulated by year of occurrence","Final figure, complete","2021","9940",""
"United States of America","2019","Total","Male","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","59489",""
"United States of America","2019","Total","Male","51","Data tabulated by year of occurrence","Final figure, complete","2021","10653",""
"United States of America","2019","Total","Male","52","Data tabulated by year of occurrence","Final figure, complete","2021","11605",""
"United States of America","2019","Total","Male","53","Data tabulated by year of occurrence","Final figure, complete","2021","12550",""
"United States of America","2019","Total","Male","54","Data tabulated by year of occurrence","Final figure, complete","2021","14741",""
"United States of America","2019","Total","Male","55","Data tabulated by year of occurrence","Final figure, complete","2021","16534",""
"United States of America","2019","Total","Male","55 - 59","Data tabulated by year of occurrence","Final figure, complete","2021","97055",""
"United States of America","2019","Total","Male","56","Data tabulated by year of occurrence","Final figure, complete","2021","17793",""
"United States of America","2019","Total","Male","57","Data tabulated by year of occurrence","Final figure, complete","2021","19341",""
"United States of America","2019","Total","Male","58","Data tabulated by year of occurrence","Final figure, complete","2021","20908",""
"United States of America","2019","Total","Male","59","Data tabulated by year of occurrence","Final figure, complete","2021","22479",""
"United States of America","2019","Total","Male","60","Data tabulated by year of occurrence","Final figure, complete","2021","23299",""
"United States of America","2019","Total","Male","60 - 64","Data tabulated by year of occurrence","Final figure, complete","2021","130870",""
"United States of America","2019","Total","Male","61","Data tabulated by year of occurrence","Final figure, complete","2021","25181",""
"United States of America","2019","Total","Male","62","Data tabulated by year of occurrence","Final figure, complete","2021","26654",""
"United States of America","2019","Total","Male","63","Data tabulated by year of occurrence","Final figure, complete","2021","27524",""
"United States of America","2019","Total","Male","64","Data tabulated by year of occurrence","Final figure, complete","2021","28212",""
"United States of America","2019","Total","Male","65","Data tabulated by year of occurrence","Final figure, complete","2021","29113",""
"United States of America","2019","Total","Male","65 - 69","Data tabulated by year of occurrence","Final figure, complete","2021","150938",""
"United States of America","2019","Total","Male","66","Data tabulated by year of occurrence","Final figure, complete","2021","29767",""
"United States of America","2019","Total","Male","67","Data tabulated by year of occurrence","Final figure, complete","2021","30240",""
"United States of America","2019","Total","Male","68","Data tabulated by year of occurrence","Final figure, complete","2021","30695",""
"United States of America","2019","Total","Male","69","Data tabulated by year of occurrence","Final figure, complete","2021","31123",""
"United States of America","2019","Total","Male","70","Data tabulated by year of occurrence","Final figure, complete","2021","32921",""
"United States of America","2019","Total","Male","70 - 74","Data tabulated by year of occurrence","Final figure, complete","2021","169309",""
"United States of America","2019","Total","Male","71","Data tabulated by year of occurrence","Final figure, complete","2021","34789",""
"United States of America","2019","Total","Male","72","Data tabulated by year of occurrence","Final figure, complete","2021","37706",""
"United States of America","2019","Total","Male","73","Data tabulated by year of occurrence","Final figure, complete","2021","31566",""
"United States of America","2019","Total","Male","74","Data tabulated by year of occurrence","Final figure, complete","2021","32327",""
"United States of America","2019","Total","Male","75","Data tabulated by year of occurrence","Final figure, complete","2021","34576",""
"United States of America","2019","Total","Male","75 - 79","Data tabulated by year of occurrence","Final figure, complete","2021","176496",""
"United States of America","2019","Total","Male","76","Data tabulated by year of occurrence","Final figure, complete","2021","37415",""
"United States of America","2019","Total","Male","77","Data tabulated by year of occurrence","Final figure, complete","2021","35401",""
"United States of America","2019","Total","Male","78","Data tabulated by year of occurrence","Final figure, complete","2021","34513",""
"United States of America","2019","Total","Male","79","Data tabulated by year of occurrence","Final figure, complete","2021","34591",""
"United States of America","2019","Total","Male","80","Data tabulated by year of occurrence","Final figure, complete","2021","35264",""
"United States of America","2019","Total","Male","80 - 84","Data tabulated by year of occurrence","Final figure, complete","2021","178604",""
"United States of America","2019","Total","Male","81","Data tabulated by year of occurrence","Final figure, complete","2021","35972",""
"United States of America","2019","Total","Male","82","Data tabulated by year of occurrence","Final figure, complete","2021","35419",""
"United States of America","2019","Total","Male","83","Data tabulated by year of occurrence","Final figure, complete","2021","35821",""
"United States of America","2019","Total","Male","84","Data tabulated by year of occurrence","Final figure, complete","2021","36128",""
"United States of America","2019","Total","Male","85","Data tabulated by year of occurrence","Final figure, complete","2021","34590",""
"United States of America","2019","Total","Male","85 - 89","Data tabulated by year of occurrence","Final figure, complete","2021","169880",""
"United States of America","2019","Total","Male","86","Data tabulated by year of occurrence","Final figure, complete","2021","34592",""
"United States of America","2019","Total","Male","87","Data tabulated by year of occurrence","Final figure, complete","2021","34712",""
"United States of America","2019","Total","Male","88","Data tabulated by year of occurrence","Final figure, complete","2021","33815",""
"United States of America","2019","Total","Male","89","Data tabulated by year of occurrence","Final figure, complete","2021","32171",""
"United States of America","2019","Total","Male","90","Data tabulated by year of occurrence","Final figure, complete","2021","29487",""
"United States of America","2019","Total","Male","90 - 94","Data tabulated by year of occurrence","Final figure, complete","2021","119275",""
"United States of America","2019","Total","Male","91","Data tabulated by year of occurrence","Final figure, complete","2021","27308",""
"United States of America","2019","Total","Male","92","Data tabulated by year of occurrence","Final figure, complete","2021","24250",""
"United States of America","2019","Total","Male","93","Data tabulated by year of occurrence","Final figure, complete","2021","20790",""
"United States of America","2019","Total","Male","94","Data tabulated by year of occurrence","Final figure, complete","2021","17440",""
"United States of America","2019","Total","Male","95","Data tabulated by year of occurrence","Final figure, complete","2021","14151",""
"United States of America","2019","Total","Male","95 - 99","Data tabulated by year of occurrence","Final figure, complete","2021","43054",""
"United States of America","2019","Total","Male","96","Data tabulated by year of occurrence","Final figure, complete","2021","10902",""
"United States of America","2019","Total","Male","97","Data tabulated by year of occurrence","Final figure, complete","2021","8259",""
"United States of America","2019","Total","Male","98","Data tabulated by year of occurrence","Final figure, complete","2021","5978",""
"United States of America","2019","Total","Male","99","Data tabulated by year of occurrence","Final figure, complete","2021","3764",""
"United States of America","2019","Total","Male","100 +","Data tabulated by year of occurrence","Final figure, complete","2021","5956",""
"United States of America","2019","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2021","103",""
"United States of America","2019","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2021","1381015",""
"United States of America","2019","Total","Female","0","Data tabulated by year of occurrence","Final figure, complete","2021","9247",""
"United States of America","2019","Total","Female","1","Data tabulated by year of occurrence","Final figure, complete","2021","649",""
"United States of America","2019","Total","Female","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","1635",""
"United States of America","2019","Total","Female","2","Data tabulated by year of occurrence","Final figure, complete","2021","401",""
"United States of America","2019","Total","Female","3","Data tabulated by year of occurrence","Final figure, complete","2021","320",""
"United States of America","2019","Total","Female","4","Data tabulated by year of occurrence","Final figure, complete","2021","265",""
"United States of America","2019","Total","Female","5","Data tabulated by year of occurrence","Final figure, complete","2021","245",""
"United States of America","2019","Total","Female","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","1043",""
"United States of America","2019","Total","Female","6","Data tabulated by year of occurrence","Final figure, complete","2021","224",""
"United States of America","2019","Total","Female","7","Data tabulated by year of occurrence","Final figure, complete","2021","196",""
"United States of America","2019","Total","Female","8","Data tabulated by year of occurrence","Final figure, complete","2021","184",""
"United States of America","2019","Total","Female","9","Data tabulated by year of occurrence","Final figure, complete","2021","194",""
"United States of America","2019","Total","Female","10","Data tabulated by year of occurrence","Final figure, complete","2021","189",""
"United States of America","2019","Total","Female","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","1268",""
"United States of America","2019","Total","Female","11","Data tabulated by year of occurrence","Final figure, complete","2021","212",""
"United States of America","2019","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2021","250",""
"United States of America","2019","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2021","293",""
"United States of America","2019","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2021","324",""
"United States of America","2019","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2021","383",""
"United States of America","2019","Total","Female","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","2897",""
"United States of America","2019","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2021","445",""
"United States of America","2019","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2021","533",""
"United States of America","2019","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2021","760",""
"United States of America","2019","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2021","776",""
"United States of America","2019","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2021","861",""
"United States of America","2019","Total","Female","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","5126",""
"United States of America","2019","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2021","950",""
"United States of America","2019","Total","Female","22","Data tabulated by year of occurrence","Final figure, complete","2021","973",""
"United States of America","2019","Total","Female","23","Data tabulated by year of occurrence","Final figure, complete","2021","1167",""
"United States of America","2019","Total","Female","24","Data tabulated by year of occurrence","Final figure, complete","2021","1175",""
"United States of America","2019","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2021","1271",""
"United States of America","2019","Total","Female","25 - 29","Data tabulated by year of occurrence","Final figure, complete","2021","7527",""
"United States of America","2019","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2021","1390",""
"United States of America","2019","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2021","1519",""
"United States of America","2019","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2021","1628",""
